order_number,sale_date,sale_month,buyer_state,item_title,sold_for,shipping_and_handling,gross_revenue
13-14439-25147,2026-03-31,2026-03,CA,RadioShack PRO-89 200 Channel Handheld Scanner Race Police WX Tested Works,31.5,6.51,38.01
12-14440-08413,2026-03-31,2026-03,VA,Snap-on F4LA 3/8” Drive Speed Handle Crank Vintage USA Z-Handle Spinner,39.99,6.43,46.42
21-14417-16985,2026-03-29,2026-03,IN,Vintage Tool Lot Craftsman Ratchet Sockets Wrenches Toolbox USA 20lbs,41.78,35.15,76.93
08-14436-02594,2026-03-29,2026-03,NY,Stanley Aladdin Lunch Box Cooler w/ Thermos 10-00311 Green Camping Set,51.0,13.25,64.25
24-14427-79252,2026-03-29,2026-03,PA,Vintage Craftsman 66577 Pry Bar USA Green Patina Black Oxide Nail Puller,24.0,9.26,33.26
05-14436-16665,2026-03-28,2026-03,MT,Arizona License Plate GCA 9P4 Grand Canyon State 2026 Tag Vanity AZ Plate,15.0,5.96,20.96
11-14426-26009,2026-03-28,2026-03,NC,Craftsman 94 Pc Mechanics Tool Set SAE Metric 1/4 3/8 Drive COMPLETE Case,50.0,16.53,66.53
26-14404-16793,2026-03-28,2026-03,Unknown,Estwing 16 oz Steel Claw Hammer USA One-Piece Forged Shock Grip,19.99,6.863333333333333,26.85333333333333
26-14404-16793,2026-03-28,2026-03,Unknown,Vintage Craftsman USA Screwdriver Lot Mixed Flat Phillips Acetate Handle,36.99,6.863333333333333,43.85333333333334
09-14427-57281,2026-03-28,2026-03,NY,Starrett Combination Square 12” 4R Machinist Rule Athol USA Vintage,25.0,9.26,34.26
10-14417-22185,2026-03-26,2026-03,WA,Snap-on TMX100 1/4” Drive Extension Bar 10” Long USA Chrome,29.99,5.52,35.51
25-14395-64429,2026-03-26,2026-03,OH,Blackhawk USA Nut Driver Set ST-803 ST-809 ST-815 ST-818 1/4–1/2” Vintage Tools,13.99,8.35,22.34
12-14411-60620,2026-03-25,2026-03,MN,Wright 4328 7/8” 12-Point Socket 1/2” Drive USA Chrome Industrial Tool,10.0,5.96,15.96
