state_code,state_name,state_ab,county,city,place,type,primary_type,zip_code,area_code,mean,median
01,Alabama,AL,Mobile County,Chickasaw,Chickasaw city,City,place,36611,251,38773,30506
01,Alabama,AL,Barbour County,Louisville,Clio city,City,place,36048,334,37725,19528
01,Alabama,AL,Shelby County,Columbiana,Columbiana city,City,place,35051,205,54606,31930
01,Alabama,AL,Mobile County,Satsuma,Creola city,City,place,36572,251,63919,52814
01,Alabama,AL,Mobile County,Dauphin Island,Dauphin Island,Town,place,36528,251,77948,67225
01,Alabama,AL,Cullman County,Cullman,Dodge City,Town,place,35057,256,50715,42643
01,Alabama,AL,Escambia County,East Brewton,East Brewton city,City,place,36426,251,33737,23610
01,Alabama,AL,Elmore County,Coosada,Elmore,Town,place,36020,334,46319,40242
01,Alabama,AL,Morgan County,Eva,Eva,Town,place,35621,256,57994,39591
01,Alabama,AL,Talladega County,Sylacauga,Fayetteville,CDP,place,35151,256,54807,41712
01,Alabama,AL,DeKalb County,Rainsville,Fort Payne city,City,place,35986,256,47929,38947
01,Alabama,AL,Etowah County,Gadsden,Gadsden city,City,place,35901,256,42251,28811
01,Alabama,AL,Butler County,Georgiana,Georgiana,Town,place,36033,334,27993,19757
01,Alabama,AL,Coosa County,Rockford,Goodwater,Town,place,35136,256,31229,22745
01,Alabama,AL,Hale County,Greensboro,Greensboro city,City,place,36744,334,36439,21136
01,Alabama,AL,Marion County,Guin,Gu-Win,Town,place,35563,205,56934,39047
01,Alabama,AL,Geneva County,Hartford,Hartford city,City,place,36344,334,41057,21608
01,Alabama,AL,Jefferson County,Helena,Helena city,City,place,35080,205,93682,300000
01,Alabama,AL,Etowah County,Hokes Bluff,Hokes Bluff city,City,place,35903,256,57202,46738
01,Alabama,AL,Covington County,Opp,Horn Hill,Town,place,36467,334,49699,34049
01,Alabama,AL,Etowah County,Attalla,Ivalee,CDP,place,35954,256,51926,300000
01,Alabama,AL,Lamar County,Millport,Kennedy,Town,place,35576,205,44572,34725
01,Alabama,AL,Jackson County,Section,Langston,Town,place,35771,256,56029,31635
01,Alabama,AL,Covington County,Andalusia,Libertyville,Town,place,36420,334,51098,43794
01,Alabama,AL,Covington County,Lockhart,Lockhart,Town,place,36455,334,45465,36849
01,Alabama,AL,Washington County,Mcintosh,McIntosh,Town,place,36553,251,67392,48713
01,Alabama,AL,Chilton County,Maplesville,Maplesville,Town,place,36750,334,43767,30427
01,Alabama,AL,Jefferson County,Fairfield,Midfield city,City,place,35064,205,48074,39817
01,Alabama,AL,Mobile County,Mobile,Mobile city,City,place,36606,251,53330,38231
01,Alabama,AL,Lawrence County,Moulton,Moulton city,City,place,35650,256,42079,28180
01,Alabama,AL,Colbert County,Muscle Shoals,Muscle Shoals city,City,place,35661,256,60729,49109
01,Alabama,AL,Hale County,Newbern,Newbern,Town,place,36765,334,32466,17389
01,Alabama,AL,Tuscaloosa County,Northport,Northport city,City,place,35476,205,62410,54115
01,Alabama,AL,Lee County,Opelika,Opelika city,City,place,36801,334,55199,40430
01,Alabama,AL,Sumter County,Panola,Panola,CDP,place,35477,205,22603,6190
01,Alabama,AL,Lee County,Ozark,Phenix City city,City,place,36867,334,86605,79218
01,Alabama,AL,Autauga County,Deatsville,Pine Level,CDP,place,36022,334,63066,57698
01,Alabama,AL,Elmore County,Prattville,Prattville city,City,place,36067,334,53597,39054
01,Alabama,AL,Franklin County,Red Bay,Red Bay city,City,place,35582,256,39220,29055
01,Alabama,AL,Covington County,Andalusia,River Falls,Town,place,36421,334,39218,25895
01,Alabama,AL,Blount County,Cleveland,Rosa,Town,place,35049,205,55127,44609
01,Alabama,AL,Mobile County,Satsuma,Saraland city,City,place,36572,251,59567,52275
01,Alabama,AL,Shelby County,Shelby,Shelby,CDP,place,35143,205,63758,45844
01,Alabama,AL,Lee County,Smiths Station,Smiths Station city,City,place,36877,334,57098,45637
01,Alabama,AL,Franklin County,Phil Campbell,Spruce Pine,CDP,place,35581,256,72297,300000
01,Alabama,AL,Walker County,Sumiton,Sumiton city,City,place,35148,205,51907,39657
01,Alabama,AL,Tallapoosa County,Tallassee,Tallassee city,City,place,36078,334,55849,50493
01,Alabama,AL,Mobile County,Mobile,Tillmans Corner,CDP,place,36619,251,55230,47636
01,Alabama,AL,Tuscaloosa County,Tuscaloosa,Tuscaloosa city,City,place,35406,205,55815,38843
01,Alabama,AL,Chambers County,Valley,Valley city,City,place,36854,334,49554,39263
01,Alabama,AL,St. Clair County,Vincent,Vincent,Town,place,35178,205,0,0
01,Alabama,AL,Chambers County,Camp Hill,Waverly,Town,place,36850,256,71026,60438
01,Alabama,AL,Cullman County,Cullman,West Point,Town,place,35057,256,58314,49030
01,Alabama,AL,Randolph County,Woodland,Woodland,Town,place,36280,256,48217,33446
01,Alabama,AL,Chambers County,Wadley,Abanda,CDP,place,36276,256,14741,11398
01,Alabama,AL,Pickens County,Aliceville,Aliceville city,City,place,35442,205,28347,20997
01,Alabama,AL,Jefferson County,Odenville,Argo,Town,place,35120,205,242857,300000
01,Alabama,AL,Lee County,Auburn,Auburn city,City,place,36830,334,59694,38029
01,Alabama,AL,Mobile County,Bayou La Batre,Bayou La Batre city,City,place,36509,251,50047,35147
01,Alabama,AL,Jefferson County,Bessemer,Bessemer city,City,place,35022,205,41239,29150
01,Alabama,AL,Greene County,Boligee,Boligee,Town,place,35443,205,32777,12379
01,Alabama,AL,Marion County,Brilliant,Brilliant,Town,place,35548,205,33353,25776
01,Alabama,AL,Shelby County,Calera,Calera city,City,place,35040,205,65576,64695
01,Alabama,AL,Pickens County,Carrollton,Carrollton,Town,place,35447,205,41709,27321
01,Alabama,AL,Autauga County,Moody,Autaugaville,Track,Track,35004,205,45862,32942
01,Alabama,AL,Autauga County,Odenville,Autaugaville,Track,Track,35120,205,62222,56867
01,Alabama,AL,Autauga County,Hoover,Autaugaville,Track,Track,35242,205,90262,71401
01,Alabama,AL,Autauga County,Birmingham,Autaugaville,Track,Track,35242,205,92018,74570
01,Alabama,AL,Autauga County,Chelsea,Autaugaville,Track,Track,35043,205,78399,71839
01,Alabama,AL,Autauga County,Maylene,Autaugaville,Track,Track,35114,205,85122,75896
01,Alabama,AL,Autauga County,Ohatchee,Autaugaville,Track,Track,36271,256,66000,54091
01,Alabama,AL,Autauga County,Panola,Autaugaville,Track,Track,35477,205,34064,28981
01,Alabama,AL,Autauga County,Talladega,Autaugaville,Track,Track,35160,256,38882,27264
01,Alabama,AL,Autauga County,Sylacauga,Autaugaville,Track,Track,35150,256,40948,31044
01,Alabama,AL,Autauga County,Dadeville,Autaugaville,Track,Track,36853,256,48421,35722
01,Alabama,AL,Autauga County,Northport,Autaugaville,Track,Track,35475,205,77977,74807
01,Alabama,AL,Autauga County,Holt,Autaugaville,Track,Track,35404,205,37965,29413
